page,result,general_result,marriage_result,trade_result,category,label
387,انجام بده,خوب است الان شرایط انجام این کار را دارا هستید با توکل به‌خدا انجام دهید ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,ان‌شاءالله که مبارک است مورد بسیار مناسبی است اقدام کنید.,خوب است ان‌شاءالله به هدف مورد نظر تان دست می‌یابید همه‌ی جوانب را در نظر داشته باشید.,1,Good
389,انجام بده,خوب است از مشکلات نهراسید با توکل به‌خدا انجام دهید.,مورد مناسبی است ان‌شاءالله عاقبت بخیر خواهید شدبا توکل به‌خدا اقدام کنید.,منفعت خوبی در این معامله است با توکل به‌خدا انجام دهید.,1,Good
391,انجام بده,خوب است با توکل به‌خدا کار را انجام دهید از شما حرکت و از خدا برکت.,مورد مناسبی است با توکل به‌خدا انجام دهید و از مشکلات نهراسید.,خوب است به‌سود خوبی خواهید رسید با توکل به‌خدا انجام دهید.,1,Good
393,انجام نده,بد است فریب و نیرنگ در کار است انجام ندهید که پشیمان خواهید شد.,هیچگاه با ظاهر افراد نمی‌توان به باطنشان و آنچه در آینده نشان می‌دهند پی برد ترک شود که پشیمانی شدید دارد.,گول ظواهر امر را نخورید شما را فریب می‌دهند و ضرر هنگفتی را به‌شما تحمیل می کنند ترک شود.,-1,Bad
395,انجام نده,بد است به چه‌کنم چه‌کنم گرفتار می‌شوید و وقتی متوجه می‌شوید که دیگر پشیمانی سودی ندارد.,اصلا مورد مناسبی نیست حتما ترک شود و الا پشیمان خواهید شد.,به‌هیچ‌وجه انجام آن به صلاح شما نیست در چاهی می‌افتید که خلاصی از آن بسیار مشکل است.,-1,Bad
397,انجام بده,خوب است با توکل به‌خدا به همه‌ی اهدافتان خواهید رسید ان‌شاءالله,ان‌شاءالله که مبارک است به پای هم پیر شوید.,خوب است منفعت خوبی خواهید برد و جبران ضررهای گذشته نیز می‌شود.,1,Good
399,اختیار با توست,میانه است سختی و مشکلات زیاد دارد اگر صبر و توانش را دارید انجام دهید و الا ترک شود.,میانه است سختی و مشکلاتی دیده می‌شود که اگر بتوانید حل کنید خوب است و الا بد است.,سختی و مشقت دارد در صورت توان انجام و الا ترک شود.,0,Neutral
401,انجام نده,بد است اگر چه ظاهر خوش خط و خالی دارد ولی اصلا مورد مناسبی نیست .,به‌هیچ‌وجه انجام ندهید باطن با ظاهر تفاوت بسیار دارد ترک شود.,فریب ظاهر خوش خط و خال را نخورید که به‌شدت پشیمان خواهید شد.,-1,Bad
403,انجام نده,بد است خطر جانی و آبرویی دارد آن هم جایی و وقتی که حتی فکرش را هم نمی‌کنید حتما ترک شود.,بد است اصلا در شأن شما نیستند و خطر آبرویی و حتی جانی دارد حتما ترک شود.,سری که درد نمی کند دستمال نمی‌بندند حتما ترک کن که در این کار هیچ خیری برای تو قرار ندارد.,-1,Bad
405,انجام نده,بد است از این کار صرف نظر کنید خداوند به موقع راه بهتری را پیش روی شما خواهد گذاشت.,مورد مناسبی را انتخاب نکرده‌اید صبر کنید و به‌خدا توکل کنید مورد مناسبی در انتظار شما است.,بد است تعجیل برای ضرر- کار عاقلانه‌ای نیست صبر کنید مورد بهتری در راه است.,-1,Bad
407,انجام بده,خوب است البته با تحقیق کافی و مشورت با افراد خبره.,خوب است ولی اول تحقیق کافی شود و سپس اقدام کنید ضمنا همه‌ی حرفهایتان را اول بزنید که بعدها به مشکل برنخورید.,با مشورت با افراد خبره و تحقیق بیشتر اقدام کنید تا بعدا متضرر نشوید.,1,Good
409,انجام نده,بد است در صورت انجام به‌شدت پشیمان خواهید شد ترک شود.,بد است هر چند ممکن است ظاهر زیبایی داشته باشد ولی بعد از مدتی متوجه می‌شوید که متاسفانه آن وقت خیلی دیر شده است.,بعد از کلی زحمت و مشقت در آخر هم چیزی دست شما را نمی‌گیرد به ظاهرش نگاه نکن که بعدا پشیمان خواهی شد.,-1,Bad
411,حتما انجام بده,بسیار خوب است خیر دنیوی و اخروی دارد با توکل به‌خدا انجام دهید ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,از هر نظر مناسب است ان‌شاءالله عاقبت بخیر خواهید شد.,بسیار پر سود و منفعت است با توکل به‌خدا انجام دهید.,2,VeryGood
413,انجام نده,بد است حرف و حدیث زیاد دارد و به مشکلات عدیده ای بر خواهید خورد ترک شود.,از اول تا آخرش پر از حرف و حدیث و دعوا و مرافعه- پس همین اول امر ترک کن.,سری که درد نمی کند دستمال نمی‌بندند مشکلات زیادی در چنین کاری پیش می‌آید و به بن بست می‌رسید ترک شود.,-1,Bad
415,حتما انجام بده,بسیار خوب است از مشکلات نترسید و با توکل به‌خدا انجام دهید ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,از مشکلات نهراسید مورد مناسبی است که ارزش هر کاری را دارد انجام دهید ان‌شاءالله عاقبت بخیر خواهید شد.,آن قدر سود خواهید کرد که مشکلات را از ‌یاد ببرید با توکل به‌خدا انجام دهید.,2,VeryGood
417,هرگز انجام نده,بسیار بد است استغفار کنید و به‌هیچ‌وجه انجام ندهید که عذاب دنیوی و اخروی دارد.,به‌هیچ‌وجه انجام ندهید از گناهانتان توبه کنید و فکر این کار را از سر خود بیرون کنید.,اصلا انجام ندهید که بعدا به‌شدت پشیمان خواهید شد.,-2,VeryBad
419,انجام نده,بد است مورد پرس و جو و مواخذه قرار می گیرید حتما ترک شود.,اصلا مورد مناسبی برای شما نیست و زندگی بدی خواهید داشت بابت هر مسئله باید جواب پس دهید و زندگی تلخی به چشم می خورد ترک شود.,آن قدر به مشکلات برخواهید خورد که از کرده‌ی خود پشیمان می‌شوید ترک شود.,-1,Bad
421,حتما انجام بده,بسیار خوب است به‌همین روشی که در نظر دارید عمل کنید ان‌شاءالله به همه اهدافتان خواهید رسید.,مورد بسیار مناسبی است قبل از ازدواج همه‌ی حرفهایتان و اصولی که به آن پایبندید را بزنید ان‌شاءالله عاقبت بخیر خواهید شد.,طبق همان شرایطی که در نظر دارید انجام دهید سود خوبی خواهید برد و به اعتبارتان نیز اضافه خواهد شد.,2,VeryGood
423,انجام نده,بد است به‌حرام خواهید افتاد و مشکلات زیادی سر راهتان قرار می‌گیرد ترک کنید.,زندگی سراسر سختی و عذابی خواهید داشت حتما ترک شود.,اصلا به صلاح شما نیس اگر این معامله را انجام دهید به مشکلات زیادی بر می‌خورید و به حرام خواهید افتاد ترک شود.,-1,Bad
425,اختیار با توست,میانه است مشکلات و درد سرهایی دیده می‌شود اگر توان و صبرش را دارید انجام دهید و الا ترک شود.,میانه است مشکلات و دردسرهایی دیده می‌شود به‌نظر می رسد ترکش بهتر باشد مگر آنکه توانایی و صبر بر مشکلات را داشته باشید.,میانه است در صورت اصرار به انجام بهتر است همه‌ی جوانب قضیه ‌بررسی شود و الا ترکش بهتر است.,0,Neutral
427,انجام نده,بد است دچار آبروریزی خواهید شد ولی دیگر پشیمانی سودی ندارد ترک کنید.,به‌هیچ‌وجه مورد مناسبی نیست یکسره دعوا و درگیری خواهید داشت به آبرو ریزیش نمی ارزد ترک شود.,خطر آبرویی و مالی دارد اعتبار شما نیز زیر سوال می‌رود ترک شود.,-1,Bad
429,انجام نده,بد است مشکلات زیادی سر راهتان قرار می‌گیرد و در آخر هم به آنچه می خواستید نمی‌رسید ترک شود که پشیمانی دارد.,به‌هیچ‌وجه در شأن شما نیستند و مشکلات بسیاری در این زندگی وجود دارد که یکی از آنها هم برای بدبختی تان کافی است حتما ترک شود.,مشکلات بسیاری بوجود می‌آید و از کرده‌ی خود پشیمان می‌شوید ترک کنید.,-1,Bad
431,اختیار با توست,میانه است احتیاج به اجازه و مشورت با افراد خبره دارد در صورت صلاحدید و کسب اجازه انجام دهید والا ترک شود.,موارد بالا رعایت شود در صورت موفق شدن در این کار انجام والا ترک شود.,در صورت مشورت با افراد خبره خوب و الا ترک شود.,0,Neutral
433,انجام نده,بد است در صورت انجام پشیمان خواهید شد و به مشکلاتی بر می‌خورید که فکرش را نمی کردید. ترک شود.,به مشکلات بر می‌خورید و اذیت و آزار خواهید شد ترک شود و الا پشیمان خواهید شد.,پس از زحمت زیاد در آخر هم به آن چیزی که در نظر دارید نمی‌رسید ترک شود.,-1,Bad
435,انجام نده,بد است شما را تکذیب می‌کنند و مورد اذیت و آزار قرار می‌گیرید. ترک شود.,به مشکلاتی بر می‌خورید که حتی فکرش را هم نمی‌کردید و بعدا پشیمان می‌شوید ولی سودی ندارد ترک شود.,به مشکلات زیادی بر می‌خورید و شما را تکذیب می‌کنند ترک شود.,-1,Bad
437,انجام نده,بد است آنچه در ذهن شما می‌گذرد با واقعیت تفاوت زیادی دارد ترک شود که پشیمانی شدید دارد.,ظاهر افراد با باطنشان تفاوت زیادی دارد و این را وقتی می‌فهمید که خیلی دیر شده است ترک شود.,در ظاهر خیلی زیبا و خوش خط و خال به نظر می‌رسد ولی در باطن ضرر زیادی هم بمال و هم به اعتبارتان خواهد زد ترک شود.,-1,Bad
439,انجام نده,بد است اقدامی انجام می‌دهید که بعدا به‌شدت پشیمان خواهید شد. حتما ترک شود.,به‌هیچ‌وجه مورد مناسبی را انتخاب نکرده‌اید تا زود است منصرف شوید که فردا پشیمانی فایده‌ای ندارد.,به‌هیچ‌وجه انجام ندهید که پشیمانی دارد و دچار ضرر مالی و اعتباری خواهید شد.,-1,Bad
441,انجام نده,بد است زحمت زیادی می کشید و در آخر هم به نتیجه دلخواه نمی رسید. ترک شود.,به‌هیچ‌وجه مورد مناسبی نیست و هر روز دعوا وجود دارد ترک شود.,زحمت زیادی می کشید مشکلات زیادی هم سر راهتان قرار می گیرد و در آخر هم متضرر ‌می‌شوید.,-1,Bad
443,انجام نده,بد است زحمت فراوان و در آخر هم جز پشیمانی حاصلی ندارد.,بد است زندگی پر از دعوا و حرف و حدیثی خواهید داشت ترک کنید.,ترک نمایید که جز پشیمانی حاصلی ندارد.,-1,Bad
445,انجام نده,بد است اقدام نکنید که پشیمانی دارد.,بد است دچار زحمتهای فراوانی خواهید شد ولی آنها باز هم از شما توقعاتی دارند که از توان شما خارج است پشیمانی دارد ترک کنید.,سودی نخواهید کرد و از طرف دیگر باعث اختلاف و درگیری هم می‌شود ترک شود که پشیمانی دارد.,-1,Bad
447,انجام نده,بد است مورد سوال و باز خواست قرار می‌گیرید ترک شود.,اگر از جان خود سیر شده اید اقدام کنید.,بد است دچار ضرر و زیان ‌می‌شوید و حتی ممکن است سرمایه‌ی خود را از دست بدهید ترک شود.,-1,Bad
449,حتما انجام بده,بسیار خوب است با توکل به‌خدا اقدام کنید ان‌شاءالله به‌همه‌ی اهدافتان خواهید رسید.,بسیار خوب و فرزندانی صالح ثمره ی این ازدواج است با توکل به‌خدا اقدام کنید.,بسیار خوب است با توکل به‌خدا ان‌شاءالله سود خوبی در انتظار شماست مستمندان را فراموش نکنید.,2,VeryGood
451,انجام نده,بد است مورد تکذیب قرار می‌گیرید و به مشکل بر می‌خورید ترک شود.,به مشکلات و مسائلی بر می‌خورید که ادامه‌ی زندگی را برای شما غیر ممکن می‌سازد ترک شود.,مشکلاتی در بین است که باعث می‌شود به اعتبار شما لطمه وارد شود و ضرر می‌کنید ترک شود.,-1,Bad
453,انجام بده,خوب است از مشکلات نترسید و با توکل به‌خدا اقدام کنید.,خوب است با توکل به‌خدا اقدام کنید ومشکلات هم در اوائل ازدواج طبیعی است فقط نباید از آن بترسید.,سود خوبی دارد و به زحمتش می‌ارزد با توکل به‌خدا انجام بده.,1,Good
455,انجام نده,بد است خطر مالی و آبرویی دارد حتما ترک شود.,به‌هیچ‌وجه مورد مناسبی نیست و در صورت انجام به‌شدت پشیمان خواهید شد.,خسارت هنگفتی خواهید کرد و اعتبار شما نیز بر اثر آن زیر سوال می‌رود ترک شود.,-1,Bad
457,انجام نده,بد است مورد اذیت و آزار عده‌ای نادان قرار می‌گیرید و از کار خود به‌شدت پشیمان می‌شوید ترک شود.,نزاع- درگیری- طلاق و چیز دیگری هم در این ازدواج نیست ترک شود.,دچار افراد شیاد و بدجنسی خواهید شد به‌هیچ‌وجه انجام ندهید.,-1,Bad
459,اختیار با توست,میانه است در صورت بررسی همه‌ی جوانب و مساعد بودن اوضاع انجام والا ترک شود.,بیشتر تحقیق کنید اگر همه‌ی جوانب را بررسی کردید و موردی وجود نداشت انجام دهید و الا ترکش کنید.,با افراد خبره و اهل فن مشورت کن جوانب کار را نیز بسنج اگر خوب بود عمل کن والا ترکش کن.,0,Neutral
461,انجام نده,بد است از ظاهر قضیه نمی‌توان به باطن آن پی برد ترک شود.,مورد مناسبی نیست توجه به ظاهر آدم را از خیلی مسائل دور می کند ترک شود.,مار خوش خط خالی است ولی سعی کن نزدیکش نشوی.,-1,Bad
463,اختیار با توست,میانه است در صورتی که تمام جوانب را رعایت کنید و با احتیاط عمل کنید خوب است والا بد است.,به‌زحمت و درد سرش نمی ارزد زندگی بدی پیدا می کنید پس بهتر است اصلا شروع نکنید.,به افراد شیادی بر می‌خورید با احتیاط عمل کنید و در صورت امکان ترک کنید.,0,Neutral
465,هرگز انجام نده,بسیار بد است دچار پشیمانی شَدید خواهید شد. حتما ترک شود.,بسیار بد است اصلا هیچ سنخیتی و نزدیکی باهم ندارید و در صورت انجام به شدت پشیمان خواهید شد.,در صورت انجام این معامله به‌شدت متضرر و پشیمان خواهید شد.,-2,VeryBad
467,انجام بده,خوب است ان‌شاءالله به همه‌ی اهدافتان خواهید رسید با توکل به‌خدا اقدام کنید.,از هر جهت مورد مناسبی است با توکل به‌خدا اقدام کنید ان‌شاءالله عاقبت بخیر خواهید شد.,سود خوبی از این معامله نصیبتان خواهد شد مستمندان را فراموش نکنید.,1,Good
469,انجام نده,بد است مورد خیلی دقیق و میلی‌متری است و با کوچکترین لغزش سقوط خواهید کرد پس ترکش به صواب نزدیکتر است.,ظاهرش دیگران را می کشد داخلش شما را ترک کنید.,با‌ یک لغزش کوچک کارتان تمام است انجام ندهید.,-1,Bad
471,انجام نده,بد است مورد تهمت و بهتان قرار می‌گیرید و انگشت نما می‌شوید ترک کنید.,هر چند ظاهرا مشکلی وجود ندارد ولی در باطن چیز دیگری است ترک شود و الا به‌شدت پشیمان خواهید شد.,ضرر هنگفتی خواهید کرد و اعتبارتان زیر سوال می‌رود ترک کنید.,-1,Bad
473,انجام نده,بد است در صورت انجام به‌شدت پشیمان می‌شوید ولی دیگر پشیمانی شما سودی نخواهد داشت.,به‌هیچ‌وجه مورد مناسبی برای شما نیست انجام ندهید که بعدا پشیمانی سودی ندارد.,بعذاب و سختی دچار خواهید شد و متضرر ‌می‌شوید ترک شود.,-1,Bad
475,انجام نده,بد است اگر چه در اول کار ممکن است این طور نشان ندهد ولی در آخر حاصلی جز حسرت و پشیمانی ندارد.,اول و آخرش بود خون بار... ترک کن جان من تو این گفتار,ضرر هنگفتی خواهید کرد و اعتبارتان نیز زیر سوال می‌رود ترک کنید.,-1,Bad
477,حتما انجام بده,بسیار خوب است با توکل به‌خدا انجام دهید ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,ان‌شاءالله که مبارک است با توکل به‌خدا انجام دهید.,معامله‌ی پر سود و برکتی است مستمندان را فراموش نکنید.,2,VeryGood
479,انجام نده,بد است دقیقاً نتیجه عکس آن چیزی که منظورتان است حاصل می‌شود ترک نمایید.,زندگی بدی خواهید داشت و هر چه از زندگی می‌گذرد وضع بدتر می‌شود ترک کنید.,ضرر هنگفتی خواهید دید و پشیمانی شدید دارد انجام ندهید.,-1,Bad
481,انجام بده,خوب است با توکل به‌خدا به اهدافتان خواهید رسید ان‌شاءالله.,مورد مناسبی است باعث آرامش شما و بوجود آمدن فرزندان سالم و خوبی خواهد شد.,سود خوبی نصیبتان می‌شود با توکل به‌خدا اقدام کنید.,1,Good
483,حتما انجام بده,بسیار خوب است به همه‌ی اهدافتان خواهید رسید و باعث افزایش اعتبارتان خواهد بود ان‌شاءالله.,ان‌شاءالله که مبارک است قدر همدیگر را بدانید و خدا را فراموش نکنید.,مورد پرسود و منفعتی خواهد بود با توکل به‌خدا اقدام کنید.,2,VeryGood
485,هرگز انجام نده,بسیار بد است به‌هیچ‌وجه انجام ندهید که پشیمانی شدید دارد.,به‌هیچ‌وجه مورد مناسبی نیست و زندگی یکسره درگیری و نزاعی را خواهید داشت ترک شود.,به‌حرام می افتید و دچار عذاب و زحمت طاقت فرسایی خواهید شد انجام ندهید.,-2,VeryBad
487,انجام بده,خوب است با صبر و حوصله مشکلاتتان حل شده و به نتیجه‌ی دلخواه خواهید رسید ان‌شاءالله.,خوب است به‌شرط آنکه با دیدن مشکلات نترسید و با صبر و حوصله موارد این‌چنینی را با درایت حل کنید.,با زحمت و رنج به‌سود خوبی دست خواهید ‌یافت به‌خدا توکل کنید و در هیچ کاری خدا را فراموش نکنید.,1,Good
489,حتما انجام بده,بسیار خوب است با توکل به‌خدا اقدام کنید خیر دنیوی و اخروی دارد ان‌شاءالله,مورد مناسبی است ان‌شاءالله عاقبت بخیر خواهید شد.,با توکل به‌خدا اقدام کنید از شما حرکت از خدا برکت.,2,VeryGood
491,انجام نده,بد است زحمت زیادی خواهید کشید و در آخر نیز نتیجه‌ی دلخواهتان حاصل نمی‌شود.,اصلا بهم نمی‌خورید و هیچ نقطه‌ی اشتراکی با نیز نتیجه‌ی دلخواهتان حاصل نمی‌شود.,زحمت زیاد و در آخر هم ضرر و پشیمانی ترک شود.,-1,Bad
493,انجام نده,بد است به‌زحمت و عذاب خواهید افتاد و از کرده‌ی خود پشیمان می‌شوید.,به‌سختی و عذاب خواهید افتاد و از کرده خود به‌شدت پشیمان می‌شوید حتما ترک شود.,دچار ضرر و زیان ‌می‌شوید و پشیمانی شدیدی به‌دنبال دارد.,-1,Bad
495,هرگز انجام نده,بسیار بد است به‌هیچ‌وجه انجام ندهید که پشیمانی شدید دارد و به چه‌کنم چه‌کنم گرفتار می‌شوید.,به‌هیچ‌وجه مورد مناسبی نیست و به رنج و عذاب سختی مبتلا خواهید شد حتما ترک شود.,دچار ضرر هنگفتی خواهید شد و اعتبار و آبروی شما از این بابت زیر سوال می‌رود ترک شود.,-2,VeryBad
497,انجام نده,بد است به سختی و عذابی گرفتار خواهید شد که از توان شما خارج است ترک شود.,نزاع- درگیری- طلاق و ... حتما ترک شود.,ضرر- بی اعتباری - آبروریزی و... حتما ترک شود.,-1,Bad
499,حتما انجام بده,بسیار خوب است با توکل به‌خدا به همه‌ی اهدافتان خواهید رسید ان‌شاءالله.,از هر جهت مورد مناسبی است ان‌شاءالله عاقبت بخیر خواهید شد خدا را در همه حال در نظر داشته باشید.,بسیار خوب است سود خوبی نصیبتان خواهد شد با توکل به‌خدا انجام دهید مستمندان را فراموش نکنید.,2,VeryGood
501,هرگز انجام نده,بسیار بد است از گذشته درس بگیرید و اشتباهات گذشته را تکرار نکنید و گرنه باید تاوان سختی از این بابت بدهید.,بسیار بد است به‌هیچ‌وجه بهم نمی‌خورید و در صورت انجام به‌شدت پشیمان خواهید شد ولی دیگر سودی ندارد.,ضرر هنگفتی خواهید کرد و به‌شدت پشیمان خواهید شد انجام ندهید.,-2,VeryBad
503,هرگز انجام نده,بسیار بد است به افرادی بر می‌خورید که شما را پلکان خود می‌کنند و شما را به‌خاک سیاه می‌کشانند انجام ندهید.,به‌هیچ‌وجه این کار را انجام ندهید چون زندگی بسیار بد و نکبت‌باری خواهید داشت.,اعتبار و مال شما در اثر این کار لطمه خواهد خورد ترک شود.,-2,VeryBad
505,هرگز انجام نده,بسیار بد است به آدمهایی بر می‌خورید که هیچ رحم و مروتی ندارند و شما را به‌خاک سیاه می‌نشانند ترک شود,بسیار بد است هیچ وجه مشترکی با هم ندارید حتما ترک شود.,بسیار بد است سرمایه و اعتبار شما به خطر می‌افتد گرفتار عده‌ای شیاد خواهید شد و شما را بدبخت می‌کنند.,-2,VeryBad
507,هرگز انجام نده,بسیار بد است هر کاری که انجام دهید به نتیجه نمی‌رسید و در آخر هم جز پشیمانی سودی ندارد.,بسیار بد است زندگی بدی خواهید داشت و جز نزاع و درگیری چیز دیگری دیده نمی‌شود.,بد است مال و اعتبارتان به مخاطره می‌افتد و هر کاری کنید به نتیجه نمی‌رسد ترک شود.,-2,VeryBad
509,انجام نده,بد است دچار افرادی می‌شوید که به‌هیچ‌وجه صراطی مستقیم نیستند و شما هر کاری کنید آنها حرف خودشان را می‌زنند ترک شود.,یکسره درگیری و نزاع دیده می‌شود به هم نمی‌خورید و دچار مشکلات زیادی خواهید شد ترک شود.,بد است دچار افراد زبان نفهم ‌می‌شوید و خسارت هنگفتی را متحمل ‌می‌شوید ترک شود.,-1,Bad
511,حتما انجام بده,بسیار خوب است دیگر از این موقعیت‌های خوب، کمتر به سراغ شما می‌آید با توکل به‌خدا اقدام کنید.,بسیار خوب است از هر نظر مورد مناسبی است ان‌شاءالله عاقبت بخیر خواهید شد.,سود خوبی نصیبتان خواهد شد مستمندان را فراموش نکنید.,2,VeryGood
513,انجام نده,بد است دچار سختی و عذاب خواهید شد در آخر هم به نتیجه‌ای که می‌خواهید نمی‌رسید.,بد است زندگی سراسر سختی و عذاب خواهید داشت ترک شود.,بد است سختی و رنج زیادی خواهید برد و در آخر هم به نتیجه دلخواه نمی‌رسید.,-1,Bad
515,انجام بده,خوب است با توکل به‌خدا انجام دهید ان‌شاءالله به اهدافتان خواهید رسید.,خوب است مورد مناسبی خواهد شد با توکل به‌خدا انجام دهید.,سود خوبی نصیبتان خواهد شد با توکل به‌خدا انجام دهید مستمندان را فراموش نکنید,1,Good
517,انجام نده,بد است به حرام می‌افتید و در حرف و حدیث مردم قرار خواهید گرفت ترک شود.,بد است با انجام این کار دچار پشیمانی خواهید شد و زندگی بدی خواهید داشت ترک شود.,مورد مناسبی برای انجام معامله نیست به‌عبارت بهتر آش دهان سوزی نیست ترک شود,-1,Bad
519,انجام نده,بد است آن چه در نظر شما است با آن چه اتفاق خواهد افتاد تفاوت بسیار دارد. ترک شود.,زندگی پر دغدغه و تلخی خواهید داشت انجام ندهید که پشیمان خواهید شد.,دچار ضرر و زیان خواهید شد و اعتبارتان زیر سوال می‌رود انجام ندهید.,-1,Bad
521,هرگز انجام نده,بسیار بد است به چه‌کنم چه‌کنم گرفتار خواهید شد و از کرده‌ی خود به‌شدت پشیمان خواهید گشت.,هیچ وجه مشترکی بین شما وجود ندارد و زندگی بسیار بد و پر تنشی در انتظار شماست ترک شود.,با افراد نادان و زبان نفهمی روبرو ‌می‌شوید و از انجام آن به‌شدت پشیمان خواهید شد ترک کنید.,-2,VeryBad
523,انجام نده,بد است شما را تکذیب می‌کنند و از دست شما هم کاری بر نمی‌آید ترک شود.,بد است درونش شما را می کشد بیرونش مردم را حتما ترک شود.,بد است آن‌گونه ای که شما فکر می‌کنید نیست ترک شود.,-1,Bad
525,انجام نده,بد است مطلبی از شما مخفی مانده است که در صورت اطلاع از آن این کار را انجام نمی‌دهید ترک شود.,بد است بیشتر تحقیق کنید مطلبی از شما مخفی مانده است ترک شود.,بد است چیزی از شما مخفی مانده است و در صورت انجام معامله متضرر خواهید شد ترک شود.,-1,Bad
527,هرگز انجام نده,بسیار بد است درست برعکس آن چیزی که فکر می‌کنید، نتیجه می‌دهد. حتما ترک شود.,بسیار بد است زندگی سراسر نزاع و درگیری خواهید داشت حتما ترک شود که پشیمانی شدید دارد.,ضرر هنگفتی خواهید کرد و اعتبار شما زیر سوال می‌رود حتما ترک شود.,-2,VeryBad
529,هرگز انجام نده,بسیار بد است دیگر بدتر از این نمی‌شود حتما ترک شود.,بسیار بد است چاهی بدون ته است که هر لحظه از خدا طلب مرگ می‌کنید حتما ترک شود.,بسیار بد است ضرر هنگفتی خواهید کرد و اعتبار شما به‌شدت زیر سوال می‌رود حتما ترک شود.,-2,VeryBad
531,انجام نده,بد است اگر چه ظاهرا همه چیز بر وفق مراد است ولی در آخر متوجه می‌شوید که باطنا چیز دیگری بوده است. ترک شود.,بد است اگر چه ظاهرا چنین نیست صبر کنید و صدقه بدهید.,بد است گول ظاهر را نخورید در صورت انجام متضرر خواهید شد.,-1,Bad
533,هرگز انجام نده,بسیار بد است به‌هیچ‌وجه مناسب نیست انجام ندهید که پشیمانی شدید دارد.,به‌هیچ‌وجه مورد مناسبی را انتخاب نکرده‌اید از این انتخاب پشیمان می‌شوید انجام ندهید.,ضرر مالی و اعتباری دارد و اعتبار شما به‌شدت زیر سوال می‌رود انجام ندهید.,-2,VeryBad
535,حتما انجام بده,بسیار خوب است به همه‌ی اهدافی که در نظر دارید می‌رسید و باعث گشایش در کارتان می‌شود.,ان‌شاءالله که مبارک است مورد خوبی را انتخاب کرده‌اید باعث آرامش شما در زندگی است.,منفعت خوبی نصیبتان خواهد شد با توکل به‌خدا اقدام کنید.,2,VeryGood
537,حتما انجام بده,بسیار خوب است به تمامی اهدافتان خواهید رسید با توکل به‌خدا اقدام کنید و در هیچ حال خدا را فراموش نکنید.,مورد مناسبی است ان‌شاءالله باعث گشایش روحی و مالی شما خواهد شد با توکل به‌خدا انجام دهید.,منفعت خوبی در انتظار شما است با توکل به‌خدا انجام دهید و در هیچ کاری خدا را فراموش نکنید.,2,VeryGood
539,حتما انجام بده,بسیار خوب است دیگر از این بهتر نمی‌شود با توکل به‌خدا انجام دهید ان‌شاءالله موفق خواهید شد.,این مورد از هر نظر مناسب است ان‌شاءالله عاقبت بخیر خواهید شد اقدام کنید.,به همه‌ی اهدافتان در این معامله دست پیدا می‌کنید و سود خوبی عایدتان می‌شود با توکل به‌خدا انجام دهید.,2,VeryGood
541,اختیار با توست,میانه است اگر همه‌ی شرایط را بررسی کردید و همه چیز بر وفق مراد بود انجام دهید والا ترک نمایید.,میانه است در صورتی که همه‌ی حرفها زده شود و توافق به‌عمل آید خوب و الا بد است.,با ‌بررسی همه‌ی جوانب و مشورت با افراد خبره اگر اقدام شود خوب والا بد است.,0,Neutral
543,اختیار با توست,میانه است اگر همه‌ی جوانب را سنجیده و مشکلی در میان نیست انجام دهید و الا ترک کنید.,اگر همه‌ی حرفها را اول بزنید و بر سر همه‌ی مسائل با هم به توافق برسید خوب والا بد است.,همه‌ی شرایط را ‌بررسی کنید اگر مشکلی در بین نبود انجام دهید والا ترک کنید.,0,Neutral
545,حتما انجام بده,بسیار خوب است اگر قرار بود انسان همه چیز را با عقل ناقصش می فهمید که... با توکل به‌خدا انجام دهید نتیجه‌ی دلخواه حاصل می‌شود.,ان‌شاءالله مبارک است با توکل به‌خدا انجام دهید و فکر باطل به ذهنتان راه ندهید.,بسیار خوب است منفعت خوبی از این معامله نصیبتان خواهد شد.,2,VeryGood
547,حتما انجام بده,بسیار خوب است با توکل به‌خدا انجام دهید ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,از هر نظر مناسب است با توکل به‌خدا اقدام کنید و در همه حال خدا را در نظر داشته باشید.,معامله‌ی پر منفعت و سودآوری خواهد بود با توکل به‌خدا انجام دهید مستمندان را فراموش نکنید.,2,VeryGood
549,حتما انجام بده,بسیار خوب است کمی زحمت دارد ولی به زحمتش می‌ارزد با توکل به‌خدا انجام دهید.,بسیار خوب است اما کمی با زحمت است به‌خدا توکل کنید و از مشکلات نهراسید.,معامله‌ی پر منفعتی است به‌خدا توکل کنید و مواظب باشید حرام داخل مالتان نشود.,2,VeryGood
551,انجام بده,خوب است به شرطی که مرتکب حرام نشوید که در این صورت عواقب بدی انتظار شماست.,خوب است همه‌ی مسائل را مطرح کنید و چیزی را از قلم نیاندازید تا بعد دچار مشکل نشوید.,خوب است به شرطی که مرتکب حرام نشوید و همه‌ی جوانب کار را رعایت کنید.,1,Good
